module	trait	nObs	bicor	Z	t	p	adj_p
midnightblue	PCB_170	95	-0.0379942424291379	-0.366579666417268	0.36666795454209	0.714699629105364	0.714699629105364
midnightblue	PCB_196	95	-0.00255216035550362	-0.0246121965919869	0.024612223310794	0.980417003039836	0.980417003039836
midnightblue	PCB_203	95	0.00403870775746469	0.0389480989025189	0.0389482047852046	0.969015171241289	0.969015171241289
midnightblue	PCB_194	95	-0.0613352286070164	-0.592238940209845	0.592611279249991	0.554879552317317	0.554879552317317
midnightblue	NDL_PCBs_Totals	95	-0.0287511591333186	-0.277342574327279	0.277380806888111	0.782103363690425	0.782103363690425
midnightblue	Total_PCBs	95	-0.00951482315188118	-0.0917604006761097	0.0917617853058992	0.927084674871075	0.927084674871075
midnightblue	weight(g)	95	0.172694564841021	1.68226481792453	1.69080977035127	0.0942221148497756	0.0942221148497756
black	Sequencing_Platform	95	0.0351802779435557	0.339406382729848	0.339476456053032	0.735016259369734	0.735016259369734
black	Insertion	51	0.000116440319557628	0.000815082240587036	0.000815082242428978	0.99935296792603	0.99935296792603
black	coi_id	95	0.0554959938225772	0.535734421391396	0.536010022822733	0.593231329678442	0.593231329678442
black	mth_id	95	0.0555040916379007	0.535812755182333	0.536088477537115	0.593177326295091	0.593177326295091
black	Sex	95	0.0213974155343077	0.206380703540393	0.206396457256393	0.836932424943528	0.836932424943528
black	Diagnosis	95	-0.0446292409420353	-0.430674900395923	0.430818072298107	0.667597528928523	0.667597528928523
black	ADOScs	95	-0.015988634474999	-0.154201947796524	0.154208518939726	0.877779479514379	0.877779479514379
black	MSLelcStandard	91	0.0408602372677574	0.385689446842875	0.385796897309334	0.700567736989705	0.700567736989705
black	Mat_BMI_PrePreg	95	0.102970932789882	0.996547865446519	0.998322431503145	0.320713513919388	0.320713513919388
black	PCB_11	95	0.0609655047338611	0.588660069545664	0.589025698383979	0.557272105245991	0.557272105245991
black	PCB_39	95	-0.0794790445672814	-0.76808819892262	0.768900537032896	0.443900668463972	0.443900668463972
black	PCB_153_168	95	0.0278762414749915	0.268898404044318	0.26893324959705	0.788576764902612	0.788576764902612
black	PCB_129_138_163	95	0.0440845279144465	0.425411522190382	0.42554950843736	0.671419293404637	0.671419293404637
black	PCB_180_193	95	0.0286261022382292	0.2761355758992	0.276173311449921	0.7830277456722	0.7830277456722
black	PCB_198_199	95	0.0291587785110693	0.281276811730537	0.281316694569618	0.779092474348025	0.779092474348025
black	Unclassified_PCBs_Total	95	0.0347968398540416	0.335704107337757	0.335771912393838	0.7377991981409	0.7377991981409
black	PCB_118	95	-0.0290015895642841	-0.279759653425421	0.279798894357927	0.78025317031381	0.78025317031381
black	PCB_156_157	95	0.092083938759042	0.890548183313936	0.891814444345548	0.374794027716015	0.374794027716015
black	PCB_169	95	-0.151840364380083	-1.47570707968045	1.48147308112339	0.141860896272066	0.141860896272066
black	DL_PCBs_Total	95	-0.00760260284748225	-0.0733182593453783	0.0733189656686146	0.941709763601107	0.941709763601107
black	PCB_146	95	0.0239972060664713	0.231465112324694	0.231487336974875	0.81744478322767	0.81744478322767
black	PCB_187	95	0.00963205766836683	0.0928910730385095	0.0928925094860002	0.926188777142459	0.926188777142459
black	PCB_183	95	0.0346865007481815	0.334638749665177	0.334705911203469	0.738600652247742	0.738600652247742
black	PCB_177	95	0.0431960717470007	0.416827212015378	0.416957011975681	0.677670731616229	0.677670731616229
black	PCB_170	95	0.00471277481290464	0.0454486908883903	0.0454488591288395	0.963846985700875	0.963846985700875
black	PCB_196	95	0.0057041438584493	0.0550093678845075	0.0550096662004553	0.95624876731975	0.95624876731975
black	PCB_203	95	0.0398443789881122	0.3844488089983	0.384550648407395	0.701448313971653	0.701448313971653
black	PCB_194	95	-0.0618550795839322	-0.597271294158766	0.597653206789632	0.551523877500408	0.551523877500408
black	NDL_PCBs_Totals	95	0.00744281937250683	0.0717772761059953	0.0717779388227082	0.942932766887716	0.942932766887716
black	Total_PCBs	95	0.0239594322195991	0.231100624971944	0.231122744794112	0.817727167569154	0.817727167569154
black	weight(g)	95	-0.116135972241232	-1.12505114547102	1.12760489402977	0.262387623427693	0.262387623427693
yellow	Sequencing_Platform	95	0.0250836219497013	0.24194844211319	0.241973825406001	0.809333222236671	0.809333222236671
yellow	Insertion	51	0.0992151176315804	0.696798199592034	0.697949500618706	0.488507766875453	0.488507766875453
yellow	coi_id	95	0.15398233753848	1.49685807979374	1.50287578379087	0.136259268603515	0.136259268603515
yellow	mth_id	95	0.153985805691148	1.49689233774026	1.50291045525247	0.136250337041471	0.136250337041471
yellow	Sex	95	-0.0547922052880213	-0.528926628645711	0.529191855454087	0.597933250444021	0.597933250444021
yellow	Diagnosis	95	0.126059124857524	1.22217164297412	1.22544588795529	0.223501674142581	0.223501674142581
yellow	ADOScs	95	0.128866525459558	1.24969237626935	1.25319295464937	0.213277094900135	0.213277094900135
yellow	MSLelcStandard	91	-0.230003410392266	-2.20937298138461	2.22962446082615	0.0282889039682375	0.0282889039682375
yellow	Mat_BMI_PrePreg	95	0.0860919123630896	0.832300703187796	0.83333434086081	0.406791335817794	0.406791335817794
yellow	PCB_11	95	0.0464550399916852	0.448318868850466	0.448480369317994	0.654849728559586	0.654849728559586
yellow	PCB_39	95	-0.0915138271275794	-0.885003500454021	0.886246250084211	0.377770807379345	0.377770807379345
yellow	PCB_153_168	95	-0.188585172966226	-1.84068132790077	1.85187809596309	0.0672160080922211	0.0672160080922211
yellow	PCB_129_138_163	95	-0.185825525720471	-1.81310168164555	1.82380207681889	0.0713938373680676	0.0713938373680676
yellow	PCB_180_193	95	-0.1855014402435	-1.80986473385953	1.82050785363556	0.0718979153039233	0.0718979153039233
yellow	PCB_198_199	95	-0.158570971477146	-1.54221712699154	1.548799124205	0.124826429074462	0.124826429074462
yellow	Unclassified_PCBs_Total	95	-0.191150408866815	-1.86634474366562	1.87801699624213	0.0635121679727796	0.0635121679727796
yellow	PCB_118	95	-0.132556207840329	-1.28589293168401	1.28970680535371	0.200350546162323	0.200350546162323
yellow	PCB_156_157	95	-0.151641793112227	-1.47374699609469	1.47949003440311	0.142388879838006	0.142388879838006
yellow	PCB_169	95	-0.206640073084918	-2.02187807012958	2.03672323920522	0.0445206101064361	0.0445206101064361
yellow	DL_PCBs_Total	95	-0.160947287097124	-1.56573371042855	1.57262169077537	0.119202513002172	0.119202513002172
yellow	PCB_146	95	-0.253079906923201	-2.49481976359939	2.52274111882662	0.0133427393170511	0.0133427393170511
yellow	PCB_187	95	-0.224263765496837	-2.20011394190454	2.21924907410418	0.0289016147522695	0.0289016147522695
yellow	PCB_183	95	-0.151589913229352	-1.47323491318484	1.47897196231768	0.142527068130524	0.142527068130524
yellow	PCB_177	95	-0.255098841944602	-2.51563343698158	2.544261066505	0.0125990891686794	0.0125990891686794
yellow	PCB_170	95	-0.211193682146217	-2.0677957129021	2.08367704753743	0.0399326079727516	0.0399326079727516
yellow	PCB_196	95	-0.175303526387217	-1.70821026419379	1.717157133255	0.0892790117815138	0.0892790117815138
yellow	PCB_203	95	-0.159871608765737	-1.55508627185902	1.56183456434057	0.121723580730295	0.121723580730295
yellow	PCB_194	95	-0.09229290113576	-0.892580616554925	0.893855569557803	0.373706534167365	0.373706534167365
yellow	NDL_PCBs_Totals	95	-0.206098041916827	-2.01641839292693	2.03114345269085	0.0450947720518833	0.0450947720518833
yellow	Total_PCBs	95	-0.198003321626503	-1.93503268848039	1.94804351696457	0.0544250026173192	0.0544250026173192
yellow	weight(g)	95	-0.089853427812344	-0.86885841607283	0.870034366738576	0.386521724234759	0.386521724234759
turquoise	Sequencing_Platform	95	0.0481896968162212	0.465084843531866	0.465265150647543	0.642829229317024	0.642829229317024
turquoise	Insertion	51	0.0229781990554986	0.160875711374395	0.160889873732769	0.87284164336905	0.87284164336905
turquoise	coi_id	95	0.0461491015944322	0.445362166950447	0.445520492891347	0.656979036760374	0.656979036760374
turquoise	mth_id	95	0.0461625362735656	0.445492002901365	0.445650467362261	0.656885474708457	0.656885474708457
turquoise	Sex	95	0.0553510456958135	0.534332285241027	0.534605728179585	0.594198346282546	0.594198346282546
turquoise	Diagnosis	95	0.0102154756076294	0.0985179061890899	0.0985196198053987	0.921731730276515	0.921731730276515
turquoise	ADOScs	95	0.0481324318548315	0.464531316343492	0.464710980390315	0.643224610338731	0.643224610338731
turquoise	MSLelcStandard	91	0.0104621525568647	0.0987033511728779	0.0987051519369376	0.921594352169086	0.921594352169086
turquoise	Mat_BMI_PrePreg	95	0.0892552979751621	0.863043626112413	0.864196118227464	0.389703667304112	0.389703667304112
turquoise	PCB_11	95	0.0349475908725838	0.3371596675804	0.337228358478484	0.736704663168543	0.736704663168543
turquoise	PCB_39	95	-0.145543752746166	-1.41361164401908	1.41867948193553	0.15933509891617	0.15933509891617
turquoise	PCB_153_168	95	-0.0196527602039183	-0.189548761611591	0.189560966590809	0.850066288967844	0.850066288967844
turquoise	PCB_129_138_163	95	-0.0101288532183898	-0.0976824636729744	0.0976841340628249	0.922393336335696	0.922393336335696
turquoise	PCB_180_193	95	-0.0183670775952549	-0.177145603616942	0.177155566023564	0.859771455441958	0.859771455441958
turquoise	PCB_198_199	95	-0.0754161740028512	-0.728670807859729	0.729364367621076	0.46761178737534	0.46761178737534
turquoise	Unclassified_PCBs_Total	95	-0.0235558461786995	-0.227206384079967	0.227227404405853	0.820745684119678	0.820745684119678
turquoise	PCB_118	95	-0.0851201252929628	-0.822859941718255	0.823858794902361	0.412127627181724	0.412127627181724
turquoise	PCB_156_157	95	-0.0307243019505814	-0.296387723005617	0.296434385391752	0.767559352066128	0.767559352066128
turquoise	PCB_169	95	-0.0240754931682035	-0.232220522228404	0.232242965190944	0.816859609912926	0.816859609912926
turquoise	DL_PCBs_Total	95	-0.0761728030367161	-0.736009634500394	0.736724365770214	0.46314444040135	0.46314444040135
turquoise	PCB_146	95	-0.0321433918350155	-0.310086468105807	0.310139904444689	0.757148498533579	0.757148498533579
turquoise	PCB_187	95	-0.0267809108461321	-0.258327522057177	0.25835841742834	0.796701213541201	0.796701213541201
